sentence_audio_text,chunk_audio_text,note
"混雑","","lesson-01/konzatsu"
"ロビーの混雑","ロビーの
こんざつ","lesson-01/konzatsu"
"ロビーが混雑しています。","","lesson-01/konzatsu"
"朝食会場の混雑","ちょうしょくかいじょうの
こんざつ","lesson-01/konzatsu"
"ロビーの混雑がひどいです。","ロビーのこんざつ
が
ひどい
です","lesson-01/konzatsu"
"朝食会場の混雑がひどいです。","ちょうしょくかいじょうのこんざつ
が
ひどい
です","lesson-01/konzatsu"
"確認","","lesson-01/kakunin"
"予約内容の確認","よやくないようの
かくにん","lesson-01/kakunin"
"名前を確認します。","","lesson-01/kakunin"
"チェックアウト時間の確認","チェックアウトじかんの
かくにん","lesson-01/kakunin"
"予約内容の確認をお願いします。","よやくないようのかくにん
を
おねがいします","lesson-01/kakunin"
"チェックアウト時間を確認します。","チェックアウトじかん
を
かくにんします","lesson-01/kakunin"
"戻る","","lesson-01/modoru"
"部屋へ戻る時間","へやへもどる
じかん","lesson-01/modoru"
"部屋へ戻りました。","","lesson-01/modoru"
"ホテルへ戻る予定","ホテルへもどる
よてい","lesson-01/modoru"
"部屋へ戻る時間です。","へやへもどるじかん
です","lesson-01/modoru"
"食事の後でホテルへ戻る予定です。","しょくじのあとでホテルへもどる
よていです","lesson-01/modoru"
"到着する","","lesson-02/touchaku"
"空港への到着","くうこうへの
とうちゃく","lesson-02/touchaku"
"空港に到着しました。","","lesson-02/touchaku"
"朝、空港に到着","あさ
くうこうに
とうちゃく","lesson-02/touchaku"
"空港への到着は朝です。","くうこうへのとうちゃく
は
あさ
です","lesson-02/touchaku"
"明日は朝、空港に到着する予定です。","あしたはあさくうこうにとうちゃくする
よていです","lesson-02/touchaku"
"取り出す","","lesson-02/toridasu"
"パスポートを取り出す","パスポートを
とりだす","lesson-02/toridasu"
"パスポートを取り出しました。","","lesson-02/toridasu"
"パソコンを取り出す","パソコンを
とりだす","lesson-02/toridasu"
"パスポートを取り出す必要があります。","パスポートをとりだす
ひつようがあります","lesson-02/toridasu"
"保安検査でパソコンを取り出します。","ほあんけんさで
パソコンをとりだします","lesson-02/toridasu"
"向かう","","lesson-02/mukau"
"搭乗口へ向かう","とうじょうぐちへ
むかう","lesson-02/mukau"
"搭乗口へ向かいました。","","lesson-02/mukau"
"税関へ向かう予定","ぜいかんへむかう
よてい","lesson-02/mukau"
"搭乗口へ向かう時間です。","とうじょうぐちへむかう
じかん
です","lesson-02/mukau"
"このあと税関へ向かう予定です。","このあと
ぜいかんへむかう
よていです","lesson-02/mukau"
